x,rho,P,u,e,M,H
-0.2034375,0.90524627,0.869908235,0.116622272,2.402407673,0.100545845,3.363370743
-0.2015625,0.89900986,0.861529666,0.124635092,2.395773686,0.107602765,3.354083161
-0.1996875,0.892807868,0.853220364,0.132647913,2.389148872,0.114679239,3.34480842
-0.1978125,0.886640151,0.844979849,0.140660733,2.382533229,0.121775348,3.33554652
-0.1959375,0.880506568,0.836807647,0.148673554,2.375926758,0.128891175,3.326297462
-0.1940625,0.874406977,0.828703285,0.156686374,2.36932946,0.136026803,3.317061244
-0.1921875,0.868341236,0.820666292,0.164699195,2.362741334,0.143182313,3.307837867
-0.1903125,0.862309205,0.812696203,0.172712015,2.35616238,0.150357788,3.298627332
-0.1884375,0.856310741,0.804792552,0.180724836,2.349592598,0.157553314,3.289429637
-0.1865625,0.850345706,0.796954876,0.188737656,2.343031989,0.164768973,3.280244784
-0.1846875,0.844413959,0.789182717,0.196750477,2.336480551,0.172004851,3.271072772
-0.1828125,0.838515361,0.781475617,0.204763297,2.329938286,0.179261032,3.2619136
-0.1809375,0.832649772,0.773833122,0.212776118,2.323405193,0.186537602,3.25276727
-0.1790625,0.826817054,0.766254779,0.220788938,2.316881272,0.193834647,3.243633781
-0.1771875,0.821017069,0.75874014,0.228801759,2.310366523,0.201152254,3.234513133
-0.1753125,0.815249678,0.751288758,0.236814579,2.303860947,0.20849051,3.225405326
-0.1734375,0.809514744,0.743900188,0.2448274,2.297364543,0.215849501,3.21631036
-0.1715625,0.80381213,0.736573988,0.25284022,2.29087731,0.223229317,3.207228235
-0.1696875,0.798141698,0.729309719,0.260853041,2.284399251,0.230630046,3.198158951
-0.1678125,0.792503314,0.722106944,0.268865861,2.277930363,0.238051777,3.189102508
-0.1659375,0.786896839,0.714965229,0.276878682,2.271470647,0.245494598,3.180058906
-0.1640625,0.78132214,0.707884142,0.284891502,2.265020104,0.252958601,3.171028145
-0.1621875,0.77577908,0.700863253,0.292904323,2.258578733,0.260443876,3.162010226
-0.1603125,0.770267526,0.693902135,0.300917143,2.252146534,0.267950514,3.153005147
-0.1584375,0.764787341,0.687000364,0.308929964,2.245723507,0.275478607,3.14401291
-0.1565625,0.759338392,0.680157516,0.316942784,2.239309652,0.283028246,3.135033513
-0.1546875,0.753920546,0.673373174,0.324955605,2.23290497,0.290599524,3.126066958
-0.1528125,0.748533669,0.666646918,0.332968425,2.226509459,0.298192535,3.117113243
-0.1509375,0.743177628,0.659978334,0.340981246,2.220123121,0.305807371,3.10817237
-0.1490625,0.737852291,0.65336701,0.348994066,2.213745955,0.313444129,3.099244338
-0.1471875,0.732557525,0.646812535,0.357006887,2.207377962,0.321102901,3.090329146
-0.1453125,0.727293199,0.640314501,0.365019707,2.20101914,0.328783784,3.081426796
-0.1434375,0.722059181,0.633872502,0.373032528,2.194669491,0.336486873,3.072537287
-0.1415625,0.71685534,0.627486135,0.381045348,2.188329014,0.344212265,3.063660619
-0.1396875,0.711681545,0.621155,0.389058169,2.181997709,0.351960057,3.054796792
-0.1378125,0.706537666,0.614878697,0.397070989,2.175675576,0.359730347,3.045945806
-0.1359375,0.701423573,0.608656831,0.40508381,2.169362615,0.367523232,3.037107662
-0.1340625,0.696339137,0.602489007,0.413096631,2.163058827,0.375338811,3.028282358
-0.1321875,0.691284229,0.596374834,0.421109451,2.156764211,0.383177183,3.019469895
-0.1303125,0.686258719,0.590313922,0.429122272,2.150478767,0.391038449,3.010670273
-0.1284375,0.681262479,0.584305883,0.437135092,2.144202495,0.398922709,3.001883493
-0.1265625,0.676295382,0.578350334,0.445147913,2.137935395,0.406830064,2.993109553
-0.1246875,0.671357299,0.572446891,0.453160733,2.131677468,0.414760615,2.984348455
-0.1228125,0.666448103,0.566595173,0.461173554,2.125428712,0.422714465,2.975600197
-0.1209375,0.661567668,0.560794804,0.469186374,2.119189129,0.430691716,2.966864781
-0.1190625,0.656715866,0.555045406,0.477199195,2.112958718,0.438692473,2.958142206
-0.1171875,0.651892572,0.549346605,0.485212015,2.10673748,0.446716838,2.949432471
-0.1153125,0.647097659,0.543698031,0.493224836,2.100525413,0.454764917,2.940735578
-0.1134375,0.642331003,0.538099313,0.501237656,2.094322519,0.462836814,2.932051526
-0.1115625,0.637592478,0.532550085,0.509250477,2.088128796,0.470932637,2.923380315
-0.1096875,0.632881959,0.527049982,0.517263297,2.081944246,0.479052491,2.914721945
-0.1078125,0.628199323,0.521598639,0.525276118,2.075768868,0.487196483,2.906076416
-0.1059375,0.623544445,0.516195697,0.533288938,2.069602663,0.495364722,2.897443728
